recipe_name,total_time,servings,yield,ingredients,directions,rating,url,nutrition,timing,processed_ingredients_directions,processed_ingredients
Banana Fritters,15,6,24 fritters,"2  bananas, mashed, ½ cup milk, 2 cups all-purpose flour, 3 teaspoons baking powder, ½ teaspoon salt, 2  eggs, beaten, 1 tablespoon margarine, melted, 1 quart vegetable oil for frying, ½ cup confectioners' sugar, or as needed","Combine bananas and milk in a large mixing bowl; sift in flour, baking powder, and salt. Add eggs and margarine; mix well to combine.
Heat oil in a large, deep skillet to 365 degrees F (180 degrees C).
Carefully place spoonfuls of the fritter mixture into the hot oil; cook, flipping once, until golden brown, about 5 minutes. Remove, and drain on a paper towel-lined plate.
Dust fritters with confectioners' sugar and serve warm.",4.0,https://www.allrecipes.com/recipe/20490/banana-fritters/,"Total Fat 19g 24%, Saturated Fat 3g 16%, Cholesterol 64mg 21%, Sodium 427mg 19%, Total Carbohydrate 53g 19%, Dietary Fiber 2g 8%, Total Sugars 16g, Protein 8g, Vitamin C 4mg 18%, Calcium 141mg 11%, Iron 3mg 14%, Potassium 240mg 5%","Prep Time: 10 mins, Cook Time: 5 mins, Total Time: 15 mins, Servings: 6, Yield: 24 fritters",mixture   combine teaspoon    place serve add warm quart cook c beat cups salt flour plate mix brown f banana large degree egg mash golden remove powder sugar allpurpose hot confectioner tablespoon   cup flip oil vegetable egg deep paper banana heat spoonfuls salt sift oil fritter baking   need melt dust sugar minute fry   carefully milk combine large skillet margarine bowl teaspoon margarine milk   drain   towelline mix fritter,banana mash cup milk allpurpose flour teaspoon bake powder salt egg beat tablespoon margarine melt quart vegetable oil fry confectioner sugar need
Blueberry Banana Bread,55,15,3 mini loaves,"2 cups all-purpose flour, 1 teaspoon baking soda, ½ teaspoon salt, 1 cup white sugar, ½ cup butter, softened, 2 large eggs, 2 teaspoons vanilla extract, 2  ripe bananas, mashed, 1 cup fresh blueberries","Preheat the oven to 350 degrees F (175 degrees C). Grease 3 mini loaf pans.
Mix together flour, baking soda, and salt in a medium bowl.
Beat sugar and butter with an electric mixer in a large bowl until light in color and fluffy. Add eggs, one at a time, mixing well after each addition. Stir in vanilla extract; beat in mashed bananas. Add flour mixture a little at a time, beating until just combined into a thick batter. Fold in blueberries until evenly distributed. Pour batter into the prepared loaf pans.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 30 to 35 minutes. Cool in the pans for 10 minutes, then transfer loaves to cool completely on a wire rack.",4.7,https://www.allrecipes.com/recipe/229021/blueberry-banana-bread/,"Total Fat 7g 9%, Saturated Fat 4g 21%, Cholesterol 41mg 14%, Sodium 215mg 9%, Total Carbohydrate 31g 11%, Dietary Fiber 1g 4%, Total Sugars 16g, Protein 3g, Vitamin C 2mg 12%, Calcium 10mg 1%, Iron 1mg 6%, Potassium 94mg 2%","Prep Time: 15 mins, Cook Time: 30 mins, Additional Time: 10 mins, Total Time: 55 mins, Servings: 15, Yield: 3 mini loaves",butter mixture extract medium   salt teaspoon white little     soda preheat add mixer c butter fresh time cup combine flour ripe prepared minute mix electric beat loaf soften f degree mashed beat   thick sugar batter evenly allpurpose   bowl cup transfer egg vanilla   center distribute batter clean banana stir salt cool pour oven pan bake   mash completely addition light banana mini sugar minute bake come flour rack toothpick large pan teaspoon preheat extract loaf wire fluffy grease   color bowl blueberry   insert mix fold,cup allpurpose flour teaspoon bake soda salt white sugar butter soften large egg vanilla extract ripe banana mash fresh blueberry
Almost No Fat Banana Bread,65,12,1 8x4-inch loaf,"  cooking spray, 1 ½ cups all-purpose flour, ¾ cup white sugar, 1 ¼ teaspoons baking powder, ½ teaspoon baking soda, ½ teaspoon ground cinnamon, 1 cup banana, mashed, ¼ cup applesauce, 2  egg whites","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease an 8x4-inch loaf pan.
Stir flour, sugar, baking powder, baking soda, and cinnamon together in a large bowl. Add banana, applesauce, and egg whites; stir just until combined. Pour batter into the prepared pan.
Bake in preheated oven until a toothpick inserted into the center comes out clean, 50 to 55 minutes. Turn out onto a wire rack and allow to cool before slicing.",4.4,https://www.allrecipes.com/recipe/23426/almost-no-fat-banana-bread/,"Total Fat 0g 0%, Sodium 100mg 4%, Total Carbohydrate 30g 11%, Dietary Fiber 1g 4%, Total Sugars 15g, Protein 2g, Vitamin C 2mg 9%, Calcium 26mg 2%, Iron 1mg 4%, Potassium 98mg 2%","Prep Time: 10 mins, Cook Time: 55 mins, Total Time: 1 hrs 5 mins, Servings: 12, Yield: 1 8x4-inch loaf",cook bake comes applesauce clean    minute cinnamon toothpick   stir f teaspoon large white cool degree pour    teaspoon mashed oven preheat turn powder soda preheat add ground combined batter bake   white allpurpose xinch loaf wire   slice pan c grease white   cup    rack   cinnamon banana spray egg bowl cup prepared lightly allow insert flour sugar   center,cooking spray cup allpurpose flour white sugar teaspoon bake powder soda ground cinnamon banana mash applesauce egg
Banana Chocolate Chip Cake,45,24,1 9x13-inch cake,"1 ½ cups all-purpose flour, ⅔ cup white sugar, 1 ½ teaspoons baking powder, ¼ teaspoon salt, 1 cup mashed bananas, ½ cup unsalted butter, melted, ¼ cup milk, 1 large egg, ¾ cup semisweet chocolate chips","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch baking dish.
Mix flour, sugar, baking powder, and salt in a large bowl. Whisk together bananas, melted butter, milk, and egg in a medium bowl. Stir banana mixture into flour mixture until just blended. Stir in chocolate chips. Pour batter into the prepared baking dish.
Bake in the preheated oven until a toothpick inserted into the center of cake comes out clean with no crumbs (melted chocolate on the toothpick is fine), 30 to 35 minutes.",4.5,https://www.allrecipes.com/recipe/8302/banana-chocolate-chip-cake/,"Total Fat 6g 7%, Saturated Fat 4g 18%, Cholesterol 18mg 6%, Sodium 60mg 3%, Total Carbohydrate 17g 6%, Dietary Fiber 1g 3%, Total Sugars 10g, Protein 2g, Vitamin C 1mg 4%, Calcium 26mg 2%, Iron 1mg 3%, Potassium 69mg 1%","Prep Time: 15 mins, Cook Time: 30 mins, Total Time: 45 mins, Servings: 24, Yield: 1 9x13-inch cake",   mixture medium salt teaspoon white    chip   xinch chocolate preheat semisweet c butter cup egg flour prepare f degree cake crumb powder batter allpurpose     cup whisk   center dish banana banana stir salt pour oven bake mashed unsalted    melt egg clean sugar minute bake come flour toothpick melt large teaspoon preheat chip milk grease   fine blend bowl melt   insert mix,cup allpurpose flour white sugar teaspoon bake powder salt mashed banana unsalted butter melt milk large egg semisweet chocolate chip
Hearty Breakfast Muffins,50,12,12 muffins,"2  carrots, shredded, 2  bananas, mashed, 1  zucchini, shredded, ¼ cup vegetable oil, ¼ cup yogurt, 2  eggs, 1 cup whole wheat flour, 1 ½ teaspoons baking soda, ½ cup packed brown sugar, ½ cup rolled oats, ½ cup shredded coconut, ½ cup chopped pecans, ½ cup dried cherries, 1 teaspoon ground cinnamon, 1 teaspoon salt, ½ teaspoon ground ginger","Preheat the oven to 375 degrees F (190 degrees C). Grease 12 muffin cups or line with paper liners.
Mix carrots, banana, zucchini, vegetable oil, yogurt, and eggs together in a large bowl until well combined.
Whisk flour and baking soda together in a separate bowl. Mix brown sugar, oats, coconut, pecans, cherries, cinnamon, salt, and ginger into flour mixture until all ingredients are coated in flour. Stir banana mixture into flour mixture until just combined. Spoon batter into the prepared muffin cups, filling each 2/3 full.
Bake in the preheated oven until tops spring back when lightly pressed, about 18 to 22 minutes. Cool in the tin for 10 minutes. Transfer to a wire rack to cool completely.",4.7,https://www.allrecipes.com/recipe/231643/hearty-breakfast-muffins/,"Total Fat 10g 13%, Saturated Fat 2g 11%, Cholesterol 31mg 10%, Sodium 388mg 17%, Total Carbohydrate 32g 12%, Dietary Fiber 4g 14%, Total Sugars 17g, Protein 5g, Vitamin C 5mg 26%, Calcium 42mg 3%, Iron 1mg 6%, Potassium 265mg 6%","Prep Time: 20 mins, Cook Time: 20 mins, Additional Time: 10 mins, Total Time: 50 mins, Servings: 12, Yield: 12 muffins",   mixture teaspoon    roll coconut   soda preheat ground combine muffin spoon spring c brown rack flour chop   cup flour top prepare carrot ginger f degree egg mashed   coated batter completely ingredient bowl cup transfer vegetable egg whisk lightly pack cherry paper banana banana stir yogurt salt cool shred dry oven pecans tin filling bake   shredded   cinnamon banana zucchini   line liner sugar minute wheat bake flour large   press teaspoon preheat separate soda oats wire grease   bowl oil   mix cup,carrot shred banana mash zucchini cup vegetable oil yogurt eggs wheat flour teaspoon bake soda pack brown sugar roll oats coconut chop pecan dry cherry ground cinnamon salt ginger
Bob's Stuffed Banana Peppers,120,8,8 stuffed peppers,"8  banana peppers, 2 tablespoons butter, ½ cup chopped onion, ½ cup chopped celery, 1 (28 ounce) can crushed tomatoes, 1 (8 ounce) can tomato sauce, 2 cloves garlic, minced, 2 ½ teaspoons salt, divided, 1 teaspoon dried basil, 1 teaspoon dried oregano, ½ teaspoon ground black pepper, divided, ½ cup grated Parmesan cheese, 1 large egg, 1 teaspoon Worcestershire sauce, 1 pound hot Italian sausage, 1 pound mild Italian sausage, 1 ½ cups bread crumbs","Cut off the tops of peppers. Remove ribs and seeds; rinse peppers. Chop edible portion of the tops; set aside.
Bring a large pot of salted water to a boil. Add peppers, reduce heat, and simmer until tender but still firm, about 5 minutes. Drain and set aside.
Heat butter in a medium skillet over medium heat. Sauté reserved chopped pepper, onion, and celery in hot butter until tender, 3 to 5 minutes. Stir in crushed tomatoes, tomato sauce, and garlic. Season with 1 1/2 teaspoons salt, basil, oregano, and 1/4 teaspoon black pepper. Simmer uncovered for 10 minutes.
Preheat the oven to 350 degrees F (175 degrees C).
Meanwhile, combine Parmesan cheese, egg, Worcestershire sauce, 1 remaining teaspoon salt, and remaining 1/4 teaspoon black pepper in a large bowl. Mix in hot sausage, mild sausage, bread crumbs, and 1 cup tomato sauce mixture until well combined.
Fill each pepper with sausage mixture using a piping bag or sausage stuffer. Place in a 3-quart casserole dish; pour remaining tomato sauce mixture over peppers.
Bake uncovered in the preheated oven until sauce is bubbly and sausage is cooked through, about 1 hour. An instant-read thermometer inserted into the filling should read at least 160 degrees F (72 degrees C).",4.6,https://www.allrecipes.com/recipe/23074/bobs-stuffed-banana-peppers/,"Total Fat 43g 54%, Saturated Fat 16g 81%, Cholesterol 123mg 41%, Sodium 2125mg 92%, Total Carbohydrate 29g 10%, Dietary Fiber 5g 19%, Total Sugars 4g, Protein 25g, Vitamin C 53mg 264%, Calcium 189mg 15%, Iron 5mg 25%, Potassium 893mg 19%","Prep Time: 30 mins, Cook Time: 1 hrs 30 mins, Total Time: 2 hrs, Servings: 8, Yield: 8 stuffed peppers",butter insert mixture   medium   ounce combine sausage teaspoon sausage     place parmesan add preheat ground firm combine oregano celery pepper garlic garlic portion cut tops butter cheese pot c fill thermometer chop cup dish egg   top simmer reserve grate stuffer sauce f pound degree crush rib aside heat   crumb remain    basil hot instantread season black cup tomato pepper    sauce piping mince casserole   banana heat bread tender stir salt bag heat seed pour dry oven quart uncover fill italian   pepper pepper boil saut   divide   water minute rinse bake read chop mild large skillet celery crumb teaspoon preheat bubbly tender clove pepper reduce edible set salt hour worcestershire   drain   onion bowl cook tomato bring remove tablespoon mix,banana pepper tablespoon butter cup chop onion celery ounce crushed tomato sauce clove garlic mince teaspoon salt divide dry basil oregano ground black grate parmesan cheese large egg worcestershire pound hot italian sausage mild bread crumb
Easy Kids' Recipe for Fluffy Banana Cookies,25,12,1 9x13-inch baking sheet,"2  ripe bananas, mashed, or more to taste, 1 ½ cups all-purpose flour, ½ cup white sugar, or more to taste, ¼ cup butter, melted, ¼ cup chopped walnuts (Optional), 1  egg, 1 teaspoon baking soda, ¼ teaspoon salt, 1 tablespoon white sugar","Preheat oven to 325 degrees F (165 degrees C). Line a baking sheet with parchment paper.
Place bananas, flour, 1/2 cup sugar, butter, walnuts, egg, baking soda, and salt in a bowl. Mix until well combined. Drop 3 tablespoonfuls of dough 2 to 3 inches apart onto baking sheet. Sprinkle 1 tablespoon sugar on top.
Bake in the preheated oven until golden brown and edges are set, 15 to 20 minutes.",4.8,https://www.allrecipes.com/recipe/258838/easy-kids-recipe-for-fluffy-banana-cookies/,"Total Fat 6g 8%, Saturated Fat 3g 14%, Cholesterol 24mg 8%, Sodium 186mg 8%, Total Carbohydrate 26g 10%, Dietary Fiber 1g 4%, Total Sugars 12g, Protein 3g, Vitamin C 2mg 9%, Calcium 9mg 1%, Iron 1mg 5%, Potassium 104mg 2%","Prep Time: 10 mins, Cook Time: 15 mins, Total Time: 25 mins, Servings: 12, Yield: 1 9x13-inch baking sheet",  walnut bake    edge banana sheet   walnut salt   salt f dough sheet white   degree taste    teaspoon mashed oven preheat place golden optional soda preheat sugar combine apart baking   drop allpurpose inch   tablespoonfuls paper c butter tablespoon brown   cup melt bowl chop mix cup parchment set egg   ripe line flour sugar sprinkle minute,ripe banana mash taste cup allpurpose flour white sugar butter melt chop walnut optional egg teaspoon bake soda salt tablespoon
Easy Mango Banana Smoothie,10,8,missing,"2  mangos - peeled, seeded, and sliced, 2  bananas, 2 cups vanilla yogurt, 2 cups milk","Combine mangos, banana, vanilla yogurt, and milk in a blender; blend until smooth.",4.5,https://www.allrecipes.com/recipe/231851/easy-mango-banana-smoothie/,"Total Fat 2g 3%, Saturated Fat 1g 7%, Cholesterol 8mg 3%, Sodium 67mg 3%, Total Carbohydrate 24g 9%, Dietary Fiber 1g 5%, Total Sugars 21g, Protein 6g, Vitamin C 14mg 68%, Calcium 181mg 14%, Iron 0mg 1%, Potassium 390mg 8%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 8",blender banana milk yogurt mango combine seeded   blend   banana smooth mango peel cup slice vanilla,mango peel seed slice banana cup vanilla yogurt milk
Strawberry Banana Protein Smoothie,10,1,missing,"1 ¼ cups sliced fresh strawberries, 1  banana, 10  whole almonds, 2 tablespoons water, 1 cup ice cubes, 3 tablespoons chocolate flavored protein powder","Place strawberries, banana, almonds, and water into a blender; blend to combine. Add ice cubes and puree until smooth. Add protein powder and mix until evenly incorporated, about 30 seconds.",4.7,https://www.allrecipes.com/recipe/160708/strawberry-banana-protein-smoothie/,"Total Fat 8g 10%, Saturated Fat 1g 4%, Sodium 195mg 8%, Total Carbohydrate 53g 19%, Dietary Fiber 10g 36%, Total Sugars 25g, Protein 21g, Vitamin C 132mg 662%, Calcium 200mg 15%, Iron 14mg 78%, Potassium 936mg 20%","Prep Time: 10 mins, Total Time: 10 mins, Servings: 1",water    blender combine   cube slice strawberry cube   chocolate place   powder add second   evenly blend puree incorporate   flavor cup fresh banana smooth almond cups water protein ice tablespoon mix,cup slice fresh strawberry banana almond tablespoon water ice cube chocolate flavor protein powder
Porridge,15,4,missing,"2 ½ cups water, 1 cup rolled oats, 1 tablespoon white sugar, 1 teaspoon salt, 2  bananas, sliced, 1 pinch ground cinnamon, ½ cup cold milk (Optional)","Combine water, oats, sugar, and salt in a saucepan. Add bananas and cinnamon. Bring to a boil, then reduce heat to low, and simmer until the liquid has been absorbed, stirring frequently.
Pour into bowls, and top each with a splash of cold milk.",3.7,https://www.allrecipes.com/recipe/73155/porridge/,"Total Fat 2g 3%, Saturated Fat 1g 4%, Cholesterol 2mg 1%, Sodium 600mg 26%, Total Carbohydrate 32g 12%, Dietary Fiber 4g 13%, Total Sugars 12g, Protein 4g, Vitamin C 5mg 26%, Calcium 57mg 4%, Iron 1mg 6%, Potassium 333mg 7%","Prep Time: 5 mins, Cook Time: 10 mins, Total Time: 15 mins, Servings: 4",water banana heat absorb milk salt combine salt banana white boil saucepan pour    teaspoon roll stir low frequently add ground pinch reduce   cold oats splash milk liquid tablespoon   cup cinnamon bowls cups optional slice cinnamon bring sugar simmer,cup water roll oats tablespoon white sugar teaspoon salt banana slice pinch ground cinnamon cold milk optional
Brown Sugar Banana Bread,55,8,1 9x5-inch loaf,"4  ripe bananas, cut into chunks, 1 ¼ cups light brown sugar, ½ cup butter, softened, 1  egg, 1 teaspoon cinnamon, 1 teaspoon vanilla extract, ¼ cup whole milk, 2 cups all-purpose flour, ½ teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon kosher salt","Preheat oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.
Place the bananas into a large plastic zipper bag, seal the bag, and smoosh the bananas with your fingers until very well mashed. Set the bananas aside. Place the brown sugar and butter into a mixing bowl, and mix on medium speed with an electric mixer until light and fluffy, 1 to 2 minutes. Cut a corner from the plastic bag, and squeeze the mashed bananas into the bowl of brown sugar mixture. With the electric mixer on medium speed, beat in the bananas, egg, cinnamon, vanilla extract, and milk until the mixture is well combined. Switch the mixer to low speed, and gradually beat in the flour, baking soda, baking powder, and kosher salt just until the batter is smooth, about 1 minute. Spread the batter into the prepared loaf pan.
Bake in the preheated oven until the bread is set and lightly browned on top, about 40 minutes. A toothpick inserted into the center of the loaf should come out clean.









",4.5,https://www.allrecipes.com/recipe/214581/brown-sugar-banana-bread/,"Total Fat 13g 17%, Saturated Fat 8g 39%, Cholesterol 55mg 18%, Sodium 364mg 16%, Total Carbohydrate 72g 26%, Dietary Fiber 3g 9%, Total Sugars 41g, Protein 5g, Vitamin C 5mg 26%, Calcium 88mg 7%, Iron 2mg 12%, Potassium 315mg 7%","Prep Time: 15 mins, Cook Time: 40 mins, Total Time: 55 mins, Servings: 8, Yield: 1 9x5-inch loaf",zipper butter insert    mixture extract medium switch salt minute    place squeeze soda preheat combine low speed mixer smooth cut c brown butter xinch cup clean finger egg flour ripe plastic prepare mixing electric soften f banana degree chunk aside beat mixture powder batter sugar allpurpose kosher   bowl bowl cup lightly come vanilla   center bananas bread oven gradually speed bake   mashed   pan bag light cinnamon corner minute sugar bake seal fluffy toothpick brown milk mash large spread teaspoon preheat loaf milk grease    smoosh set mix,ripe banana cut chunk cup light brown sugar butter soften egg teaspoon cinnamon vanilla extract milk allpurpose flour bake soda powder kosher salt
Hummingbird Cake,80,15,2 9-inch cake pans,"3 cups all-purpose flour, 2 cups white sugar, 1 teaspoon baking soda, 1 teaspoon salt, 2 cups mashed bananas, 1 ½ cups canola oil, 1 cup chopped black walnuts, 1 (8 ounce) can crushed pineapple, drained, 3 large eggs","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9-inch cake pans.
Make cake: Sift together flour, sugar, baking soda, and salt in a large bowl. Combine bananas, oil, walnuts, pineapple, and eggs in another large bowl; mix well. Stir flour mixture into banana mixture until combined. Pour batter into the prepared pans.
Bake in the preheated oven until a toothpick inserted into the center of each pan comes out clean, about 1 hour. Allow cakes to cool on wire racks.
Meanwhile, make frosting: Beat together confectioners' sugar, cream cheese, butter, and vanilla in a medium bowl until smooth.
Evenly spread frosting on the middle, sides, and top of cooled cake.











Danielle K.
",4.6,https://www.allrecipes.com/recipe/15750/hummingbird-cake/,"Total Fat 40g 51%, Saturated Fat 10g 48%, Cholesterol 70mg 23%, Sodium 342mg 15%, Total Carbohydrate 86g 31%, Dietary Fiber 2g 8%, Total Sugars 62g, Protein 7g, Vitamin C 4mg 21%, Calcium 32mg 2%, Iron 2mg 11%, Potassium 231mg 5%","Prep Time: 20 mins, Cook Time: 1 hrs, Total Time: 1 hrs 20 mins, Servings: 15, Yield: 2 9-inch cake pans",cake mixture   walnut medium   ounce combine salt white    soda preheat combine c butter cheese chop pan cup flour prepare f degree crush egg cake beat batter evenly allpurpose canola   confectioner bowl inch black cup vanilla cake   center clean banana banana stir cake salt middle cool pour k oven sift drain bake   mash rack smooth sugar bake come flour toothpick pineapple large frost cream pan teaspoon bowl spread preheat frost wire hour cool grease   side bowl danielle oil allow insert mix,cup allpurpose flour white sugar teaspoon bake soda salt mash banana cups canola oil chop black walnut ounce crush pineapple drain large egg
Clean Banana Oat Cookies,25,12,12 cookies,"2  bananas, mashed, ¼ cup milk, 1 large egg, beaten, 1 teaspoon honey, ½ teaspoon vanilla extract, 1 cup rolled oats, or as needed, 1 teaspoon ground cinnamon, ½ teaspoon baking powder, ⅛ teaspoon salt","Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
Mix together mashed bananas, milk, egg, honey, and vanilla in a bowl. Stir in oats, cinnamon, baking powder, and salt until well combined. Add more oats if the batter is too runny.
Spoon mounds of batter a few inches apart onto the prepared baking sheet.
Bake in the preheated oven until the tops look dry and edges are golden, about 15 minutes.









",3.9,https://www.allrecipes.com/recipe/254832/clean-banana-oat-cookies/,"Total Fat 1g 1%, Saturated Fat 0g 2%, Cholesterol 16mg 5%, Sodium 53mg 2%, Total Carbohydrate 10g 4%, Dietary Fiber 1g 5%, Total Sugars 3g, Protein 2g, Vitamin C 2mg 9%, Calcium 26mg 2%, Iron 1mg 3%, Potassium 110mg 2%","Prep Time: 10 mins, Cook Time: 15 mins, Total Time: 25 mins, Servings: 12, Yield: 12 cookies",   extract salt sheet    roll add preheat ground combine paper spoon c beat parchment egg top prepare   edge sheet mound f degree mashed powder batter apart   look cup golden vanilla   banana stir runny oven bake   inch mash cinnamon line minute dry honey bake large    teaspoon preheat oats milk   oats bowl need mix,banana mash cup milk large egg beat teaspoon honey vanilla extract roll oat need ground cinnamon bake powder salt
Quick Banana Milkshake (Ice Cream Free),5,2,missing,"3  ice cubes, 1 cup milk, 1  banana, 1 tablespoon white sugar, or to taste, 1 pinch ground cinnamon","Combine ice, milk, banana, sugar, and cinnamon in a blender; blend until smooth.",4.6,https://www.allrecipes.com/recipe/231180/quick-banana-milkshake-ice-cream-free/,"Total Fat 3g 3%, Saturated Fat 2g 8%, Cholesterol 10mg 3%, Sodium 52mg 2%, Total Carbohydrate 26g 9%, Dietary Fiber 2g 6%, Total Sugars 19g, Protein 5g, Vitamin C 5mg 27%, Calcium 152mg 12%, Iron 0mg 1%, Potassium 397mg 8%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 2",cinnamon blender   combine ice cube white taste ground pinch blend milk tablespoon   cup banana smooth ice sugar,ice cube cup milk banana tablespoon white sugar taste pinch ground cinnamon
Banana Bran Muffins,35,12,12 muffins,"½ cup butter, softened, ½ cup brown sugar, 3  bananas, mashed, 2 large eggs, ¼ cup milk, 1 teaspoon vanilla extract, 1 ½ cups all-purpose flour, ½ cup wheat bran, 1 teaspoon baking powder, 1 teaspoon baking soda, ¼ teaspoon salt, ½ cup chopped walnuts","Preheat the oven to 375 degrees F (190 degrees C). Grease a muffin pan or line with paper liners.
Cream together butter and brown sugar in a large bowl with an electric mixer on medium speed until fluffy. Add mashed bananas, eggs, milk, and vanilla; mix well. Stir in flour, bran, baking powder, baking soda, and salt; blend just until moistened. Stir in walnuts. Pour batter into the prepared muffin cups.
Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, 20 to 25 minutes. Cool muffins in the pan for 5 minutes, then transfer to a wire rack to cool completely.",4.7,https://www.allrecipes.com/recipe/16666/banana-bran-muffins/,"Total Fat 12g 16%, Saturated Fat 6g 28%, Cholesterol 52mg 17%, Sodium 266mg 12%, Total Carbohydrate 30g 11%, Dietary Fiber 3g 9%, Total Sugars 13g, Protein 4g, Vitamin C 3mg 13%, Calcium 53mg 4%, Iron 2mg 8%, Potassium 207mg 4%","Prep Time: 10 mins, Cook Time: 20 mins, Additional Time: 5 mins, Total Time: 35 mins, Servings: 12, Yield: 12 muffins",butter    extract medium      walnut soda preheat add speed muffin mixer c butter brown rack chop   pan cup flour prepare minutes electric soften f degree mashed powder batter sugar completely allpurpose blend bowl cup transfer egg vanilla paper center vanilla moisten clean banana stir salt cool   pour oven bake   mash bran muffin cup salt line liner sugar minute wheat walnut bake come   toothpick large cream teaspoon preheat wire fluffy milk grease     insert mix,cup butter soften brown sugar banana mash large egg milk teaspoon vanilla extract allpurpose flour wheat bran bake powder soda salt chop walnut
Strawberry Orange Banana Smoothie,5,1,missing,"1 cup fresh strawberries, ¾ cup orange juice, 1  ripe banana, 1 cup ice cubes, or as needed","Blend strawberries, orange juice, banana, and ice in a blender until smooth and frothy.",4.5,https://www.allrecipes.com/recipe/215163/strawberry-orange-banana-smoothie/,"Total Fat 1g 2%, Saturated Fat 0g 1%, Sodium 8mg 0%, Total Carbohydrate 58g 21%, Dietary Fiber 7g 23%, Total Sugars 38g, Protein 4g, Vitamin C 194mg 971%, Calcium 55mg 4%, Iron 1mg 7%, Potassium 1032mg 22%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 1",strawberry cube orange blender need blend   cup    fresh banana smooth ice frothy ripe juice,cup fresh strawberries orange juice ripe banana ice cube need
Banana Loaf,70,12,1 9x5-inch loaf,"1 cup white sugar, ½ cup butter, 2 large eggs, 3  ripe bananas, mashed, 2 cups all-purpose flour, 1 teaspoon baking soda, 1 teaspoon baking powder, ½ teaspoon salt, ½ cup chopped walnuts","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x5-inch loaf pan.
Cream sugar and butter in a large bowl with an electric mixer on medium speed until light and fluffy. Add eggs, one at a time, beating well after each addition. Mix in mashed bananas. Sift together flour, baking soda, baking powder, and salt in a separate bowl; beat into banana mixture just until combined. Fold in nuts. Pour batter into the prepared pan.
Bake in the preheated oven until a toothpick inserted into the center of the loaf comes out clean, about 1 hour.









",4.6,https://www.allrecipes.com/recipe/20739/banana-loaf/,"Total Fat 12g 15%, Saturated Fat 6g 28%, Cholesterol 51mg 17%, Sodium 299mg 13%, Total Carbohydrate 40g 15%, Dietary Fiber 2g 6%, Total Sugars 21g, Protein 4g, Vitamin C 3mg 13%, Calcium 33mg 3%, Iron 1mg 8%, Potassium 163mg 3%","Prep Time: 10 mins, Cook Time: 1 hrs, Total Time: 1 hrs 10 mins, Servings: 12, Yield: 1 9x5-inch loaf",butter mixture medium   salt white    soda preheat add combined speed mixer c butter xinch time chop cup flour ripe prepared electric beat f degree mashed beat powder batter sugar allpurpose   bowl cup egg lightly   center clean banana banana salt pour oven sift bake   mashed addition pan light banana sugar walnut bake come toothpick nuts large cream bowl teaspoon preheat separate loaf fluffy hour grease   insert mix fold,cup white sugar butter large egg ripe banana mash allpurpose flour teaspoon bake soda powder salt chop walnut
